,Layer+driverline
580162374,L6a Htr3a-Cre_NO152|Pvalb-T2A-Dre
582613001,L2/3 Chat-IRES-Cre-neo
582644266,L2/3 Chat-IRES-Cre-neo
582917630,L6a Vip-IRES-Cre
583104750,L6a Chrna2-Cre_OE25
583138230,L2/3 Chat-IRES-Cre-neo
583138568,L2/3 Chat-IRES-Cre-neo
583146274,L2/3 Chat-IRES-Cre-neo
583434059,L5 Chrna2-Cre_OE25|Pvalb-T2A-Dre
584231995,L5 Oxtr-T2A-Cre
584872371,L5 Htr3a-Cre_NO152
585805211,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
585832440,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
585841870,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
585925172,L2/3 Chat-IRES-Cre-neo
585944237,L4 Chat-IRES-Cre-neo
585946742,L2/3 Chat-IRES-Cre-neo
585947309,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
585951863,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
585952606,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
586071425,L2/3 Chat-IRES-Cre-neo
586072188,L2/3 Chat-IRES-Cre-neo
586072464,L2/3 Chat-IRES-Cre-neo
586072783,L2/3 Chat-IRES-Cre-neo
586073683,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
586073850,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
586379590,L6a Htr3a-Cre_NO152|Pvalb-T2A-Dre
586559181,L2/3 Nos1-CreERT2|Sst-IRES-FlpO
586566174,L6a Nos1-CreERT2|Sst-IRES-FlpO
587045566,L2/3 Chat-IRES-Cre-neo
590558808,L6b Vipr2-IRES2-Cre
591265629,L6a Nos1-CreERT2|Sst-IRES-FlpO
591268268,L5 Pvalb-IRES-Cre
591278744,L6a Pvalb-IRES-Cre
592952680,L5 Nos1-CreERT2|Sst-IRES-FlpO
593312584,L1 Gad2-IRES-Cre
593321019,L1 Gad2-IRES-Cre
594091004,L1 Gad2-IRES-Cre
609435731,L2/3 Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre
614767057,L2/3 Pvalb-T2A-FlpO|Vipr2-IRES2-Cre
614777438,L2/3 Pvalb-T2A-FlpO|Vipr2-IRES2-Cre
623185845,L5 Nos1-CreERT2|Sst-IRES-FlpO
