,m-type,e-type,me-type,molecularID
586071425,Aspiny_15,Inh_3,ME_Inh_5,L2/3_Vip
586072188,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
586072464,Aspiny_14,Inh_2,ME_Inh_5,L2/3_Vip
586072783,Aspiny_14,Inh_3,ME_Inh_5,L2/3_Vip
586073683,Aspiny_17,Inh_2,ME_Inh_21,L2/3_Pvalb
586073850,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
586379590,Aspiny_4,Inh_8,ME_Inh_9,L6a_Pvalb
586559181,Aspiny_17,Inh_1,ME_Inh_20,L2/3_Lamp5
586566174,Aspiny_12,Inh_4,ME_Inh_23,L6a_Sst
587045566,Aspiny_14,Inh_3,ME_Inh_3,L2/3_Vip
590558808,Aspiny_19,Inh_11,ME_Inh_6,L6b_Pvalb
591265629,Aspiny_11,Inh_6,ME_Inh_24,L6a_Sst
591268268,Aspiny_8,Inh_9,ME_Inh_8,L5_Pvalb
591278744,Aspiny_4,Inh_9,ME_Inh_7,L6a_Pvalb
592952680,Aspiny_4,Inh_4,ME_Inh_23,L5_Sst
593312584,Aspiny_17,Inh_3,ME_Inh_3,L1_Vip
593321019,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
594091004,Aspiny_18,Inh_3,ME_Inh_18,L1_Lamp5
609435731,Aspiny_5,Inh_8,ME_Inh_21,L2/3_Pvalb
614767057,Aspiny_5,Inh_11,ME_Inh_21,L2/3_Pvalb
614777438,Aspiny_7,Inh_12,ME_Inh_16,L2/3_Pvalb
623185845,Aspiny_3,Inh_4,ME_Inh_22,L5_Sst
